Date : 2023-06-09 21:50:20
Directory : /Users/shgopher/Desktop/family/GOFamily
Total : 82 files,  6260 codes, 225 comments, 1497 blanks, all 7982 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| 基础/逻辑和判断语句                                                             |          1 |        181 |         10 |         57 |        248 |
| 基础/零值                                                                  |          1 |        103 |          0 |         27 |        130 |
| 工程                                                                     |         31 |        809 |         30 |        213 |      1,052 |
| 工程 (Files)                                                             |          1 |         17 |          0 |          1 |         18 |
| 工程/cgo                                                                 |          1 |          3 |          0 |          0 |          3 |
| 工程/copilot                                                             |          1 |          2 |          0 |          0 |          2 |
| 工程/go web 编程                                                           |          1 |          5 |         10 |          0 |         15 |
| 工程/go命名惯例                                                              |          1 |        117 |          0 |         25 |        142 |
| 工程/go标准库                                                               |          4 |         46 |          0 |         15 |         61 |
| 工程/go语言规范                                                              |          1 |          5 |          0 |          1 |          6 |
| 工程/ioc                                                                 |          1 |          3 |          0 |          0 |          3 |
| 工程/log                                                                 |          1 |          4 |          0 |          3 |          7 |
| 工程/wasm                                                                |          1 |          0 |          0 |          1 |          1 |
| 工程/代码检查                                                                |          1 |        116 |          0 |         15 |        131 |
| 工程/优秀第三方包                                                              |          3 |          9 |          0 |          0 |          9 |
| 工程/优秀第三方包 (Files)                                                      |          1 |          3 |          0 |          0 |          3 |
| 工程/优秀第三方包/gin                                                          |          1 |          4 |          0 |          0 |          4 |
| 工程/优秀第三方包/sonic                                                        |          1 |          2 |          0 |          0 |          2 |
| 工程/动态调试                                                                |          1 |          3 |          0 |          0 |          3 |
| 工程/包及其构建工具                                                             |          1 |        327 |          0 |        115 |        442 |
| 工程/反射                                                                  |          1 |          1 |         10 |          2 |         13 |
| 工程/命令                                                                  |          1 |         43 |          0 |         21 |         64 |
| 工程/坑                                                                   |          1 |          2 |          0 |          1 |          3 |
| 工程/字符编码                                                                |          1 |          1 |          0 |          0 |          1 |
| 工程/测试                                                                  |          4 |         35 |          0 |          1 |         36 |
| 工程/系统信号的处理                                                             |          1 |          1 |          0 |          0 |          1 |
| 工程/读写模型                                                                |          1 |          1 |          0 |          0 |          1 |
| 工程/错误处理                                                                |          1 |         66 |         10 |         12 |         88 |
| 工程/项目组织形式                                                              |          1 |          2 |          0 |          0 |          2 |
| 并发                                                                     |          8 |        256 |         30 |         80 |        366 |
| 并发 (Files)                                                             |          1 |          8 |          0 |          1 |          9 |
| 并发/atomic                                                              |          1 |          0 |          0 |          1 |          1 |
| 并发/channel                                                             |          1 |          4 |          0 |          0 |          4 |
| 并发/context                                                             |          1 |          1 |         10 |          1 |         12 |
| 并发/内存模型                                                                |          1 |        226 |          0 |         74 |        300 |
| 并发/定时器                                                                 |          1 |          1 |          0 |          0 |          1 |
| 并发/并发原语                                                                |          1 |          3 |         10 |          2 |         15 |
| 并发/并发模型                                                                |          1 |         13 |         10 |          1 |         24 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/shgopher/Desktop/family/GOFamily/.chglog/CHANGELOG.tpl.md       | Markdown   |         24 |          0 |          6 |         30 |
| /Users/shgopher/Desktop/family/GOFamily/.chglog/config.yml             | YAML       |         28 |          0 |          0 |         28 |
| /Users/shgopher/Desktop/family/GOFamily/.github/workflows/main.yml     | YAML       |         37 |         12 |          8 |         57 |
| /Users/shgopher/Desktop/family/GOFamily/.vuepress/config.js            | JavaScript |        122 |         22 |          2 |        146 |
| /Users/shgopher/Desktop/family/GOFamily/.vuepress/public/css/index.css | CSS        |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/CHANGELOG.md                   | Markdown   |          4 |          0 |          5 |          9 |
| /Users/shgopher/Desktop/family/GOFamily/README.md                      | Markdown   |        101 |          0 |         11 |        112 |
| /Users/shgopher/Desktop/family/GOFamily/changelog.config.js            | JavaScript |         70 |         10 |          0 |         80 |
| /Users/shgopher/Desktop/family/GOFamily/package.json                   | JSON       |         33 |          0 |          1 |         34 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/README.md              | Markdown   |          8 |          0 |          0 |          8 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/gmp/README.md          | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/netpool/README.md      | Markdown   |          3 |         10 |          0 |         13 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/三色gc算法/README.md       | Markdown   |          2 |          0 |          0 |          2 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/堆内存分配/README.md        | Markdown   |          0 |          0 |          1 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/栈内存管理/README.md        | Markdown   |          0 |          0 |          1 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/runtime/系统监控/README.md         | Markdown   |          0 |          0 |          1 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/基础/README.md                   | Markdown   |         15 |          0 |          0 |         15 |
| /Users/shgopher/Desktop/family/GOFamily/基础/interface/README.md         | Markdown   |        761 |         10 |        192 |        963 |
| /Users/shgopher/Desktop/family/GOFamily/基础/map/README.md               | Markdown   |        163 |          0 |         63 |        226 |
| /Users/shgopher/Desktop/family/GOFamily/基础/map/hash.svg                | XML        |        149 |          0 |          0 |        149 |
| /Users/shgopher/Desktop/family/GOFamily/基础/slice/README.md             | Markdown   |        121 |          0 |         51 |        172 |
| /Users/shgopher/Desktop/family/GOFamily/基础/string/README.md            | Markdown   |        238 |          0 |         39 |        277 |
| /Users/shgopher/Desktop/family/GOFamily/基础/作用域/README.md               | Markdown   |        129 |         10 |         29 |        168 |
| /Users/shgopher/Desktop/family/GOFamily/基础/其他内容/README.md              | Markdown   |        139 |          0 |         67 |        206 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/0.md                   | Markdown   |         64 |         10 |         17 |         91 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/1.md                   | Markdown   |         64 |         10 |         12 |         86 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/2.md                   | Markdown   |          2 |         10 |          1 |         13 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/3.md                   | Markdown   |         56 |         10 |          9 |         75 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/4.md                   | Markdown   |         78 |         10 |         10 |         98 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/5.md                   | Markdown   |         48 |         10 |         11 |         69 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/6.md                   | Markdown   |          1 |         10 |          2 |         13 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/7.md                   | Markdown   |        138 |          0 |         29 |        167 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/README.md              | Markdown   |      1,159 |          0 |        279 |      1,438 |
| /Users/shgopher/Desktop/family/GOFamily/基础/函数方法/gofunc.svg             | XML        |          3 |          1 |          0 |          4 |
| /Users/shgopher/Desktop/family/GOFamily/基础/变量声明/README.md              | Markdown   |         80 |          0 |         25 |        105 |
| /Users/shgopher/Desktop/family/GOFamily/基础/复合字面量/README.md             | Markdown   |         57 |          0 |         18 |         75 |
| /Users/shgopher/Desktop/family/GOFamily/基础/常量声明/README.md              | Markdown   |        139 |          0 |         31 |        170 |
| /Users/shgopher/Desktop/family/GOFamily/基础/数字类型/README.md              | Markdown   |         88 |          0 |         21 |        109 |
| /Users/shgopher/Desktop/family/GOFamily/基础/求值顺序/README.md              | Markdown   |         62 |          0 |         20 |         82 |
| /Users/shgopher/Desktop/family/GOFamily/基础/泛型/README.md                | Markdown   |        490 |          0 |        121 |        611 |
| /Users/shgopher/Desktop/family/GOFamily/基础/结构体/README.md               | Markdown   |        229 |         10 |         37 |        276 |
| /Users/shgopher/Desktop/family/GOFamily/基础/逻辑和判断语句/README.md           | Markdown   |        181 |         10 |         57 |        248 |
| /Users/shgopher/Desktop/family/GOFamily/基础/零值/README.md                | Markdown   |        103 |          0 |         27 |        130 |
| /Users/shgopher/Desktop/family/GOFamily/工程/README.md                   | Markdown   |         17 |          0 |          1 |         18 |
| /Users/shgopher/Desktop/family/GOFamily/工程/cgo/README.md               | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/copilot/README.md           | Markdown   |          2 |          0 |          0 |          2 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go web 编程/README.md         | Markdown   |          5 |         10 |          0 |         15 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go命名惯例/README.md            | Markdown   |        117 |          0 |         25 |        142 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go标准库/README.md             | Markdown   |          7 |          0 |          2 |          9 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go标准库/encoding-hex.md       | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go标准库/fmt.md                | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go标准库/sync.md               | Markdown   |         33 |          0 |         13 |         46 |
| /Users/shgopher/Desktop/family/GOFamily/工程/go语言规范/README.md            | Markdown   |          5 |          0 |          1 |          6 |
| /Users/shgopher/Desktop/family/GOFamily/工程/ioc/README.md               | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/log/README.md               | Markdown   |          4 |          0 |          3 |          7 |
| /Users/shgopher/Desktop/family/GOFamily/工程/wasm/README.md              | Markdown   |          0 |          0 |          1 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/工程/代码检查/README.md              | Markdown   |        116 |          0 |         15 |        131 |
| /Users/shgopher/Desktop/family/GOFamily/工程/优秀第三方包/README.md            | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/优秀第三方包/gin/README.md        | Markdown   |          4 |          0 |          0 |          4 |
| /Users/shgopher/Desktop/family/GOFamily/工程/优秀第三方包/sonic/README.md      | Markdown   |          2 |          0 |          0 |          2 |
| /Users/shgopher/Desktop/family/GOFamily/工程/动态调试/README.md              | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/包及其构建工具/README.md           | Markdown   |        327 |          0 |        115 |        442 |
| /Users/shgopher/Desktop/family/GOFamily/工程/反射/README.md                | Markdown   |          1 |         10 |          2 |         13 |
| /Users/shgopher/Desktop/family/GOFamily/工程/命令/README.md                | Markdown   |         43 |          0 |         21 |         64 |
| /Users/shgopher/Desktop/family/GOFamily/工程/坑/README.md                 | Markdown   |          2 |          0 |          1 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/字符编码/README.md              | Markdown   |          1 |          0 |          0 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/工程/测试/README.md                | Markdown   |         23 |          0 |          0 |         23 |
| /Users/shgopher/Desktop/family/GOFamily/工程/测试/基准测试.md                  | Markdown   |          5 |          0 |          0 |          5 |
| /Users/shgopher/Desktop/family/GOFamily/工程/测试/基础测试.md                  | Markdown   |          3 |          0 |          0 |          3 |
| /Users/shgopher/Desktop/family/GOFamily/工程/测试/模糊测试.md                  | Markdown   |          4 |          0 |          1 |          5 |
| /Users/shgopher/Desktop/family/GOFamily/工程/系统信号的处理/README.md           | Markdown   |          1 |          0 |          0 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/工程/读写模型/README.md              | Markdown   |          1 |          0 |          0 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/工程/错误处理/README.md              | Markdown   |         66 |         10 |         12 |         88 |
| /Users/shgopher/Desktop/family/GOFamily/工程/项目组织形式/README.md            | Markdown   |          2 |          0 |          0 |          2 |
| /Users/shgopher/Desktop/family/GOFamily/并发/README.md                   | Markdown   |          8 |          0 |          1 |          9 |
| /Users/shgopher/Desktop/family/GOFamily/并发/atomic/README.md            | Markdown   |          0 |          0 |          1 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/并发/channel/README.md           | Markdown   |          4 |          0 |          0 |          4 |
| /Users/shgopher/Desktop/family/GOFamily/并发/context/README.md           | Markdown   |          1 |         10 |          1 |         12 |
| /Users/shgopher/Desktop/family/GOFamily/并发/内存模型/README.md              | Markdown   |        226 |          0 |         74 |        300 |
| /Users/shgopher/Desktop/family/GOFamily/并发/定时器/README.md               | Markdown   |          1 |          0 |          0 |          1 |
| /Users/shgopher/Desktop/family/GOFamily/并发/并发原语/README.md              | Markdown   |          3 |         10 |          2 |         15 |
| /Users/shgopher/Desktop/family/GOFamily/并发/并发模型/README.md              | Markdown   |         13 |         10 |          1 |         24 |
| Total                                                                  |            |      6,260 |        225 |      1,497 |      7,982 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
