Date : 2023-06-09 21:50:20
Directory : /Users/shgopher/Desktop/family/GOFamily
Total : 82 files,  6260 codes, 225 comments, 1497 blanks, all 7982 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Markdown   |         74 |      5,815 |        180 |      1,486 |      7,481 |
| JavaScript |          2 |        192 |         32 |          2 |        226 |
| XML        |          2 |        152 |          1 |          0 |        153 |
| YAML       |          2 |         65 |         12 |          8 |         85 |
| JSON       |          1 |         33 |          0 |          1 |         34 |
| CSS        |          1 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                      |         82 |      6,260 |        225 |      1,497 |      7,982 |
| . (Files)                                                              |          4 |        208 |         10 |         17 |        235 |
| .chglog                                                                |          2 |         52 |          0 |          6 |         58 |
| .github                                                                |          1 |         37 |         12 |          8 |         57 |
| .github/workflows                                                      |          1 |         37 |         12 |          8 |         57 |
| .vuepress                                                              |          2 |        125 |         22 |          2 |        149 |
| .vuepress (Files)                                                      |          1 |        122 |         22 |          2 |        146 |
| .vuepress/public                                                       |          1 |          3 |          0 |          0 |          3 |
| .vuepress/public/css                                                   |          1 |          3 |          0 |          0 |          3 |
| runtime                                                                |          7 |         16 |         10 |          3 |         29 |
| runtime (Files)                                                        |          1 |          8 |          0 |          0 |          8 |
| runtime/gmp                                                            |          1 |          3 |          0 |          0 |          3 |
| runtime/netpool                                                        |          1 |          3 |         10 |          0 |         13 |
| runtime/三色gc算法                                                         |          1 |          2 |          0 |          0 |          2 |
| runtime/堆内存分配                                                          |          1 |          0 |          0 |          1 |          1 |
| runtime/栈内存管理                                                          |          1 |          0 |          0 |          1 |          1 |
| runtime/系统监控                                                           |          1 |          0 |          0 |          1 |          1 |
| 基础                                                                     |         27 |      4,757 |        111 |      1,168 |      6,036 |
| 基础 (Files)                                                             |          1 |         15 |          0 |          0 |         15 |
| 基础/interface                                                           |          1 |        761 |         10 |        192 |        963 |
| 基础/map                                                                 |          2 |        312 |          0 |         63 |        375 |
| 基础/slice                                                               |          1 |        121 |          0 |         51 |        172 |
| 基础/string                                                              |          1 |        238 |          0 |         39 |        277 |
| 基础/作用域                                                                 |          1 |        129 |         10 |         29 |        168 |
| 基础/其他内容                                                                |          1 |        139 |          0 |         67 |        206 |
| 基础/函数方法                                                                |         10 |      1,613 |         71 |        370 |      2,054 |
| 基础/变量声明                                                                |          1 |         80 |          0 |         25 |        105 |
| 基础/复合字面量                                                               |          1 |         57 |          0 |         18 |         75 |
| 基础/常量声明                                                                |          1 |        139 |          0 |         31 |        170 |
| 基础/数字类型                                                                |          1 |         88 |          0 |         21 |        109 |
| 基础/求值顺序                                                                |          1 |         62 |          0 |         20 |         82 |
| 基础/泛型                                                                  |          1 |        490 |          0 |        121 |        611 |
| 基础/结构体                                                                 |          1 |        229 |         10 |         37 |        276 |
